title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	description.1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	genotype/variation:ch1	tissue:ch1
Trisomy_11 [16607]	GSM3144762	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 11 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 11	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16607	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216586	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091739	NONE	Trisomy 11	blastocyst
Trisomy_12 [16431]	GSM3144763	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 12 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 12	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16431	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216585	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091740	NONE	Trisomy 12	blastocyst
Trisomy_13 [16425]	GSM3144764	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 13 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 13	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16425	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216584	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091741	NONE	Trisomy 13	blastocyst
Trisomy_13 [16433]	GSM3144765	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 13 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 13	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16433	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216583	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091742	NONE	Trisomy 13	blastocyst
Trisomy_14 [16479]	GSM3144766	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 14 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 14	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16479	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216582	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091743	NONE	Trisomy 14	blastocyst
Trisomy_14 [16604]	GSM3144767	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 14 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 14	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16604	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216581	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091744	NONE	Trisomy 14	blastocyst
Trisomy_15 [15090]	GSM3144768	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 15 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 15	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15090	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216580	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091745	NONE	Trisomy 15	blastocyst
Trisomy_15 [15091]	GSM3144769	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 15 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 15	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15091	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216579	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091746	NONE	Trisomy 15	blastocyst
Trisomy_15 [15092]	GSM3144770	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 15 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 15	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15092	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216578	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091747	NONE	Trisomy 15	blastocyst
Trisomy_15 [15093]	GSM3144771	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 15 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 15	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15093	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216577	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091748	NONE	Trisomy 15	blastocyst
Trisomy_15 [15094]	GSM3144772	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 15 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 15	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15094	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216576	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091749	NONE	Trisomy 15	blastocyst
Trisomy_16 [16467]	GSM3144773	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 16 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 16	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16467	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216575	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091750	NONE	Trisomy 16	blastocyst
Trisomy_16 [16482]	GSM3144774	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 16 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 16	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16482	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216574	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091751	NONE	Trisomy 16	blastocyst
Trisomy_17 [16480]	GSM3144775	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 17 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 17	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16480	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216573	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091752	NONE	Trisomy 17	blastocyst
Trisomy_17 [16731]	GSM3144776	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 17 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 17	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16731	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216572	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091753	NONE	Trisomy 17	blastocyst
Trisomy_18 [16002]	GSM3144777	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 18 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 18	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16002	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216571	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091754	NONE	Trisomy 18	blastocyst
